"CrossingID","Latitude","Longitude"
"079535V",41.795522,-88.010419
"079534N",41.79553,-88.006862
"079533G",41.795549,-87.998422
"079532A",41.795557,-87.994695
"079530L",41.795598,-87.975331
"079529S",41.797007,-87.954667
"079527D",41.799151,-87.945191
"079526W",41.800495,-87.939227
"079524H",41.802401,-87.930805
"079523B",41.80274,-87.929295
"079522U",41.803204,-87.927239
"079516R",41.808924,-87.901903
"079515J",41.809232,-87.900496
"079514C",41.809668,-87.898671
"079513V",41.811814,-87.889098
"079512N",41.813961,-87.879559
"079510A",41.81507,-87.874634
"079509F",41.815593,-87.872334
"079508Y",41.816182,-87.869696
"079503P",41.82035,-87.851241
"079502H",41.821974,-87.843975
"079501B",41.824136,-87.834361
"079498V",41.827478,-87.819481
"079497N",41.828686,-87.814112
"079494T",41.83054,-87.80587
"079493L",41.83119,-87.802947
"079491X",41.832381,-87.797656
"079490R",41.833186,-87.794062
"079489W",41.833459,-87.792845
"079488P",41.834557,-87.787979
"079487H",41.835664,-87.783128
"174024U",41.899845,-87.944563
"174025B",41.89956,-87.949124
"176967K",42.227256,-88.282737
"176973N",42.244517,-88.317683
"290487J",41.429488,-88.102716
"178802U",42.23694,-88.30333
"176993A",42.321653,-88.452872
"176992T",42.320453,-88.451045
"176980Y",42.281881,-88.388364
"176959T",42.198232,-88.22026
"176958L",42.196978,-88.217827
"176948F",42.147448,-88.121671
"176909P",42.056318,-87.921297
"175003E",41.884656,-88.385067
"174364F",42.194729,-88.213419
"173908X",42.039316,-87.883396
"174939A",41.889553,-88.008549
"174944W",41.885104,-88.023889
"174341Y",41.893452,-87.903269
"173910Y",42.040447,-87.885748
"173912M",42.042041,-87.889337
"176928U",42.093504,-88.004705
"176939G",42.110885,-88.043784
"176549U",42.076566,-87.708734
"176571G",42.130262,-87.753779
"176579L",42.165478,-87.783343
"176584H",42.185713,-87.799149
"176585P",42.187948,-87.800547
"522446Y",41.887986,-87.641362
"522442W",41.888439,-87.65456
"522441P",41.888433,-87.655713
"289681F",41.44171,-87.732599
"289726K",41.733115,-87.878701
"386420W",42.28571,-87.924876
"372059R",41.888468,-87.652223
"522443D",41.888453,-87.653383
"386379G",41.997363,-87.765497
"386378A",41.996579,-87.76511
"386377T",41.995408,-87.764486
"386423S",42.294482,-87.96461
